"Time","u101","u201","u301","u501","u601","u110","u210","u310","u510","u610","u710","u111","u211","u311","u511","u611","u711","u112","u212","u312","u512","u612","u712","u213","u313","u713","u714","u102","u302","u502","u602","u702","u103","u203","u303","u503","u603","u703","u104","u204","u304","u504","u604","u704","u105","u205","u305","u505","u605","u705","u106","u206","u306","u506","u606","u706","u107","u207","u307","u507","u607","u707","u108","u208","u308","u508","u608","u708","u109","u209","u309","u509","u609","u709"
2024-08-04 18:55:00,-88.9638 µA,-89.0152 µA,-88.9996 µA,-89.2010 µA,-88.9556 µA,-89.2472 µA,-88.9395 µA,-88.9047 µA,-89.1400 µA,-89.1061 µA,-88.9600 µA,-88.7524 µA,-89.0013 µA,-86.4377 µA,-89.1052 µA,-86.3701 µA,-89.0277 µA,-89.2599 µA,-89.0312 µA,-88.8546 µA,-89.0129 µA,-88.5041 µA,-88.9980 µA,-88.9510 µA,-105.9680 µA,-106.1970 µA,-88.9236 µA,-89.0862 µA,-85.3069 µA,-89.1310 µA,-88.7651 µA,-88.8833 µA,-89.1641 µA,-88.9870 µA,-88.8019 µA,-89.0955 µA,-88.8895 µA,-88.5825 µA,-89.0031 µA,-89.0511 µA,-88.9622 µA,-89.1123 µA,-89.0611 µA,-88.5391 µA,-89.0436 µA,-89.1302 µA,-88.8950 µA,-88.7646 µA,-88.9515 µA,-89.2155 µA,-89.3321 µA,-88.4494 µA,-88.9973 µA,-89.0601 µA,-88.9839 µA,-89.0876 µA,-89.0737 µA,-88.9606 µA,-85.5860 µA,-88.9989 µA,-88.9708 µA,-89.0410 µA,-89.2871 µA,-87.2087 µA,-89.0496 µA,-89.2352 µA,-88.4100 µA,-88.3779 µA,-89.2524 µA,-88.9791 µA,-88.9860 µA,-79.0197 µA,-88.9178 µA,-88.8976 µA
2024-08-04 18:55:04,-88.9642 µA,-89.0150 µA,-89.0008 µA,-89.2010 µA,-88.9566 µA,-89.2472 µA,-88.9396 µA,-88.9050 µA,-89.1437 µA,-89.1070 µA,-88.9601 µA,-88.7529 µA,-88.9973 µA,-86.4386 µA,-89.1050 µA,-86.3704 µA,-89.0274 µA,-89.2604 µA,-89.0314 µA,-88.8545 µA,-89.0130 µA,-88.5052 µA,-88.9990 µA,-88.9515 µA,-105.9686 µA,-106.1970 µA,-88.9233 µA,-89.0855 µA,-85.3067 µA,-89.1310 µA,-88.7717 µA,-88.8834 µA,-89.1648 µA,-88.9868 µA,-88.8021 µA,-89.0958 µA,-88.8897 µA,-88.5828 µA,-89.0041 µA,-89.0512 µA,-88.9626 µA,-89.1118 µA,-89.0618 µA,-88.5385 µA,-89.0427 µA,-89.1302 µA,-88.8935 µA,-88.7640 µA,-88.9520 µA,-89.2157 µA,-89.3325 µA,-88.4441 µA,-88.9970 µA,-89.0602 µA,-88.9840 µA,-89.0876 µA,-89.0746 µA,-88.9605 µA,-85.5869 µA,-88.9992 µA,-88.9280 µA,-89.0402 µA,-89.2877 µA,-87.2080 µA,-89.0498 µA,-89.2357 µA,-88.4122 µA,-88.4084 µA,-89.2524 µA,-88.9798 µA,-88.9863 µA,-79.1308 µA,-88.9184 µA,-88.8975 µA
2024-08-04 18:55:08,-88.9657 µA,-89.0155 µA,-88.9930 µA,-89.2007 µA,-88.9568 µA,-89.2473 µA,-88.9400 µA,-88.9047 µA,-89.1384 µA,-89.1076 µA,-88.9602 µA,-88.7536 µA,-88.9930 µA,-86.4400 µA,-89.1052 µA,-86.3699 µA,-89.0237 µA,-89.2606 µA,-89.0307 µA,-88.8545 µA,-89.0135 µA,-88.5055 µA,-88.9950 µA,-88.9520 µA,-105.9691 µA,-106.1969 µA,-88.9232 µA,-89.0851 µA,-85.3063 µA,-89.1313 µA,-88.7712 µA,-88.8835 µA,-89.1649 µA,-88.9874 µA,-88.8015 µA,-89.0955 µA,-88.8897 µA,-88.5826 µA,-89.0041 µA,-89.0509 µA,-88.9627 µA,-89.1114 µA,-89.0619 µA,-88.5382 µA,-89.0422 µA,-89.1290 µA,-88.8871 µA,-88.7635 µA,-88.9524 µA,-89.2160 µA,-89.3329 µA,-88.4543 µA,-88.9961 µA,-89.0600 µA,-88.9841 µA,-89.0876 µA,-89.0760 µA,-88.9610 µA,-85.5874 µA,-88.9985 µA,-88.9500 µA,-89.0405 µA,-89.2886 µA,-87.2067 µA,-89.0499 µA,-89.2369 µA,-88.4388 µA,-88.4916 µA,-89.2535 µA,-88.9796 µA,-88.9862 µA,-79.2524 µA,-88.9191 µA,-88.8977 µA
2024-08-04 18:55:12,-88.9660 µA,-89.0151 µA,-89.0042 µA,-89.2002 µA,-88.9569 µA,-89.2471 µA,-88.9401 µA,-88.9046 µA,-89.1427 µA,-89.1082 µA,-88.9601 µA,-88.7549 µA,-88.9904 µA,-86.4407 µA,-89.1059 µA,-86.3697 µA,-89.0278 µA,-89.2604 µA,-89.0309 µA,-88.8542 µA,-89.0139 µA,-88.5058 µA,-88.9974 µA,-88.9516 µA,-105.9695 µA,-106.1969 µA,-88.9229 µA,-89.0852 µA,-85.3064 µA,-89.1318 µA,-88.7716 µA,-88.8834 µA,-89.1646 µA,-88.9872 µA,-88.8013 µA,-89.0956 µA,-88.8897 µA,-88.5825 µA,-89.0042 µA,-89.0502 µA,-88.9626 µA,-89.1109 µA,-89.0623 µA,-88.5383 µA,-89.0424 µA,-89.1286 µA,-88.8848 µA,-88.7632 µA,-88.9530 µA,-89.2160 µA,-89.3338 µA,-88.4665 µA,-88.9968 µA,-89.0597 µA,-88.9839 µA,-89.0875 µA,-89.0765 µA,-88.9612 µA,-85.5909 µA,-88.9987 µA,-88.9569 µA,-89.0406 µA,-89.2882 µA,-87.2057 µA,-89.0493 µA,-89.2372 µA,-88.4701 µA,-88.4171 µA,-89.2546 µA,-88.9804 µA,-88.9863 µA,-78.9645 µA,-88.9197 µA,-88.8976 µA
2024-08-04 18:55:16,-88.9656 µA,-89.0150 µA,-89.0039 µA,-89.2006 µA,-88.9572 µA,-89.2476 µA,-88.9403 µA,-88.9047 µA,-89.1061 µA,-89.1083 µA,-88.9597 µA,-88.7552 µA,-88.9890 µA,-86.4412 µA,-89.1058 µA,-86.3699 µA,-89.0278 µA,-89.2609 µA,-89.0306 µA,-88.8540 µA,-89.0139 µA,-88.5063 µA,-88.9976 µA,-88.9520 µA,-105.9698 µA,-106.1969 µA,-88.9230 µA,-89.0857 µA,-85.3063 µA,-89.1313 µA,-88.7717 µA,-88.8834 µA,-89.1644 µA,-88.9872 µA,-88.8012 µA,-89.0955 µA,-88.8898 µA,-88.5827 µA,-89.0053 µA,-89.0501 µA,-88.9626 µA,-89.1112 µA,-89.0622 µA,-88.5378 µA,-89.0433 µA,-89.1286 µA,-88.8737 µA,-88.7628 µA,-88.9530 µA,-89.2162 µA,-89.3348 µA,-88.4547 µA,-88.9963 µA,-89.0598 µA,-88.9839 µA,-89.0879 µA,-89.0769 µA,-88.9609 µA,-85.5859 µA,-88.9989 µA,-88.9487 µA,-89.0344 µA,-89.2886 µA,-87.2054 µA,-89.0491 µA,-89.2371 µA,-88.4162 µA,-88.7054 µA,-89.2559 µA,-88.9810 µA,-88.9864 µA,-79.5519 µA,-88.9200 µA,-88.8975 µA
2024-08-04 18:55:20,-88.9653 µA,-89.0147 µA,-88.9992 µA,-89.2003 µA,-88.9574 µA,-89.2475 µA,-88.9399 µA,-88.9047 µA,-89.1219 µA,-89.1084 µA,-88.9599 µA,-88.7555 µA,-88.9864 µA,-86.4418 µA,-89.1064 µA,-86.3701 µA,-89.0281 µA,-89.2609 µA,-89.0304 µA,-88.8531 µA,-89.0139 µA,-88.5068 µA,-88.9975 µA,-88.9520 µA,-105.9702 µA,-106.1969 µA,-88.9228 µA,-89.0854 µA,-85.3062 µA,-89.1308 µA,-88.7717 µA,-88.8838 µA,-89.1649 µA,-88.9870 µA,-88.8010 µA,-89.0956 µA,-88.8899 µA,-88.5824 µA,-89.0057 µA,-89.0501 µA,-88.9628 µA,-89.1116 µA,-89.0625 µA,-88.5363 µA,-89.0436 µA,-89.1290 µA,-88.8677 µA,-88.7630 µA,-88.9535 µA,-89.2163 µA,-89.3352 µA,-88.4553 µA,-88.9964 µA,-89.0596 µA,-88.9841 µA,-89.0884 µA,-89.0768 µA,-88.9605 µA,-85.5899 µA,-88.9995 µA,-88.9563 µA,-89.0453 µA,-89.2892 µA,-87.2049 µA,-89.0500 µA,-89.2381 µA,-88.5888 µA,-88.4115 µA,-89.2562 µA,-88.9806 µA,-88.9863 µA,-79.0779 µA,-88.9205 µA,-88.8973 µA
2024-08-04 18:55:24,-88.9653 µA,-89.0151 µA,-88.9940 µA,-89.2000 µA,-88.9579 µA,-89.2483 µA,-88.9398 µA,-88.9051 µA,-89.1308 µA,-89.1085 µA,-88.9597 µA,-88.7557 µA,-88.9848 µA,-86.4426 µA,-89.1066 µA,-86.3699 µA,-89.0281 µA,-89.2613 µA,-89.0305 µA,-88.8529 µA,-89.0137 µA,-88.5069 µA,-88.9973 µA,-88.9520 µA,-105.9704 µA,-106.1969 µA,-88.9230 µA,-89.0858 µA,-85.3064 µA,-89.1310 µA,-88.7719 µA,-88.8838 µA,-89.1658 µA,-88.9869 µA,-88.8013 µA,-89.0955 µA,-88.8897 µA,-88.5826 µA,-89.0053 µA,-89.0502 µA,-88.9627 µA,-89.1113 µA,-89.0626 µA,-88.7300 µA,-89.0440 µA,-89.1290 µA,-88.8704 µA,-88.7632 µA,-88.9536 µA,-89.2162 µA,-89.3355 µA,-88.4523 µA,-89.0018 µA,-89.0593 µA,-88.9843 µA,-89.0887 µA,-89.0774 µA,-88.9606 µA,-85.5899 µA,-88.9994 µA,-88.9310 µA,-89.0407 µA,-89.2902 µA,-87.2047 µA,-89.0507 µA,-89.2383 µA,-88.4096 µA,-88.7251 µA,-89.2557 µA,-88.9801 µA,-88.9865 µA,-79.0394 µA,-88.9206 µA,-88.8974 µA
2024-08-04 18:55:28,-88.9653 µA,-89.0151 µA,-88.9940 µA,-89.2005 µA,-88.9574 µA,-89.2477 µA,-88.9398 µA,-88.9051 µA,-89.1177 µA,-89.1086 µA,-88.9594 µA,-88.7553 µA,-88.9826 µA,-86.4430 µA,-89.1067 µA,-86.3698 µA,-89.0286 µA,-89.2614 µA,-89.0297 µA,-88.8523 µA,-89.0133 µA,-88.5073 µA,-88.9970 µA,-88.9513 µA,-105.9707 µA,-106.1969 µA,-88.9231 µA,-89.0858 µA,-85.3062 µA,-89.1310 µA,-88.7717 µA,-88.8835 µA,-89.1648 µA,-88.9859 µA,-88.8010 µA,-89.0959 µA,-88.8897 µA,-88.5822 µA,-89.0051 µA,-89.0496 µA,-88.9627 µA,-89.1113 µA,-89.0626 µA,-88.5331 µA,-89.0435 µA,-89.1484 µA,-88.8700 µA,-88.7633 µA,-88.9540 µA,-89.2157 µA,-89.3357 µA,-88.4477 µA,-88.9967 µA,-89.0595 µA,-88.9841 µA,-89.0884 µA,-89.0780 µA,-88.9602 µA,-85.6856 µA,-88.9986 µA,-88.9520 µA,-89.0403 µA,-89.2901 µA,-87.2042 µA,-89.0504 µA,-89.2378 µA,-88.4272 µA,-88.4634 µA,-89.2561 µA,-88.9803 µA,-88.9866 µA,-79.1003 µA,-88.9210 µA,-88.8977 µA
2024-08-04 18:55:32,-88.9661 µA,-89.0155 µA,-89.0048 µA,-89.2003 µA,-88.9577 µA,-89.2472 µA,-88.9399 µA,-88.9045 µA,-89.1321 µA,-89.1087 µA,-88.9595 µA,-88.7546 µA,-88.9674 µA,-86.4434 µA,-89.1069 µA,-86.3697 µA,-89.0279 µA,-89.2616 µA,-89.0288 µA,-88.8517 µA,-89.0135 µA,-88.5075 µA,-88.9973 µA,-88.9510 µA,-105.9709 µA,-106.1969 µA,-88.9232 µA,-89.0857 µA,-85.3061 µA,-89.1310 µA,-88.7717 µA,-88.8836 µA,-89.1649 µA,-88.9859 µA,-88.8006 µA,-89.0957 µA,-88.8898 µA,-88.5821 µA,-89.0054 µA,-89.0492 µA,-88.9628 µA,-89.1111 µA,-89.0627 µA,-88.5455 µA,-89.0443 µA,-89.1349 µA,-88.8589 µA,-88.7634 µA,-88.9536 µA,-89.2154 µA,-89.3354 µA,-88.4540 µA,-88.9964 µA,-89.0601 µA,-88.9844 µA,-89.0883 µA,-89.0786 µA,-88.9603 µA,-85.6945 µA,-88.9990 µA,-88.8820 µA,-89.0404 µA,-89.2898 µA,-87.2034 µA,-89.0492 µA,-89.2376 µA,-88.4249 µA,-88.8366 µA,-89.2552 µA,-88.9802 µA,-88.9863 µA,-79.0155 µA,-88.9212 µA,-88.8978 µA
2024-08-04 18:55:36,-88.9657 µA,-89.0153 µA,-89.0044 µA,-89.2006 µA,-88.9574 µA,-89.2470 µA,-88.9399 µA,-88.9038 µA,-89.1301 µA,-89.1090 µA,-88.9595 µA,-88.7539 µA,-88.9985 µA,-86.4433 µA,-89.1071 µA,-86.3695 µA,-89.0275 µA,-89.2610 µA,-89.0252 µA,-88.8515 µA,-89.0138 µA,-88.5076 µA,-88.9968 µA,-88.9513 µA,-105.9710 µA,-106.1968 µA,-88.9232 µA,-89.0853 µA,-85.3061 µA,-89.1313 µA,-88.7717 µA,-88.8836 µA,-89.1651 µA,-88.9857 µA,-88.8003 µA,-89.0960 µA,-88.8897 µA,-88.5823 µA,-89.0068 µA,-89.0488 µA,-88.9628 µA,-89.1112 µA,-89.0630 µA,-88.5463 µA,-89.0449 µA,-89.1255 µA,-88.8598 µA,-88.7633 µA,-88.9531 µA,-89.2154 µA,-89.3351 µA,-88.4490 µA,-88.9963 µA,-89.0601 µA,-88.9844 µA,-89.0885 µA,-89.0787 µA,-88.9601 µA,-85.6964 µA,-88.9992 µA,-88.9554 µA,-89.0433 µA,-89.2902 µA,-87.2029 µA,-89.0493 µA,-89.2381 µA,-88.4034 µA,-88.4371 µA,-89.2555 µA,-88.9804 µA,-88.9863 µA,-78.9579 µA,-88.9213 µA,-88.8974 µA
